,train,valid,test
0,0.5315926814420764,0.45470642660869265,0.5545800277761452
1,0.5603838078914686,0.4851536823103145,0.5481642274135801
2,0.5898568814698686,0.5656233097931355,0.5447143061782395
3,0.619016929383884,0.5445193322866124,0.5615521214112531
4,0.6071446610005145,0.5125639939102367,0.5436920616773238
5,0.6233143662777186,0.5355420937149576,0.5858244197278628
6,0.6141080025681346,0.5244911860045866,0.5472008348214791
7,0.5789397550444815,0.49414138165567134,0.5649737916740408
8,0.6382581345158143,0.5355751146560436,0.5867968344102852
9,0.634319503315613,0.5053182826025776,0.5795388562471183
10,0.6617647748520505,0.5379124039134412,0.6013575363601634
11,0.6544027835280518,0.5404661841677647,0.5846069973425106
12,0.6498982884745934,0.5045897359356291,0.5667460822908302
13,0.6667140532456479,0.5214690814641383,0.5822620707515589
14,0.6737068400423297,0.5383014914524366,0.6102754623578874
15,0.6513618485899865,0.5157332466797574,0.6135652603490506
16,0.6468864228133105,0.5241371007110215,0.5797143575206805
17,0.66222094277298,0.5157465494401876,0.573799960428226
18,0.6486030219841666,0.523995805276284,0.5705111478979198
19,0.670151418601705,0.5367290044999256,0.6062908246795528
20,0.623342388258604,0.5672370089571065,0.5532691058901412
21,0.6662859894029858,0.5516443148004393,0.5874834109952333
22,0.6398595034362139,0.5545562069862612,0.5678566292659869
23,0.6857599169563571,0.5474557263340223,0.6172733975271082
24,0.654790228464649,0.5396286679524377,0.5707017912169815
25,0.6636143656302985,0.5722679260388183,0.5816005313057983
26,0.6778614268633989,0.5357473706240097,0.585814445216299
27,0.6761229233858859,0.52591660273513,0.5699754329848934
28,0.6876217406794511,0.5502103729909271,0.6006888831740207
29,0.6570763371413577,0.5520454671243068,0.5754523961109395
30,0.6932502753191746,0.552275165048941,0.5903800734042901
31,0.6826705007211622,0.5513470130379683,0.5810180882719289
32,0.6379888348223731,0.5090220392825521,0.5376999447249114
33,0.6876375887805559,0.549795903177644,0.5647689095222174
34,0.6901687849008861,0.5464789734664761,0.5921583113395177
35,0.7047048752648648,0.548881129983131,0.5947579604126964
36,0.6895295417741779,0.5582916704965805,0.6004516140875824
37,0.6761794095271946,0.5520199756243521,0.5969807462496429
38,0.6919909642972057,0.5627908058374489,0.5769546948141586
39,0.708225115727796,0.5582464644154491,0.586329941473967
40,0.7097455084152066,0.5865411393614498,0.5708524794895774
41,0.6860554406604228,0.5552004205878577,0.5636493948683842
42,0.6815272485070879,0.5562166929853178,0.5829094495329706
43,0.693484758297433,0.5519333857189851,0.5974618271084905
44,0.703801953983814,0.5538080479498709,0.617529538523232
45,0.6888001542268719,0.5723812778875524,0.5822268866273171
46,0.7139285589566093,0.5798521780260677,0.5912245542023264
47,0.7160172140621485,0.5715705181021792,0.5927350045336749
48,0.6836520529711215,0.5607011841333167,0.6056349730883775
49,0.6907897275368526,0.5379748204803945,0.5488063747752879
50,0.7007699860431897,0.5408736422513841,0.5767457724927662
51,0.6685196873424089,0.5723886020821228,0.5357391444867085
52,0.7067720039440867,0.5684739355991252,0.5722899468010096
53,0.7211877930051055,0.5901093592995057,0.6055909282634373
54,0.705681288133484,0.5665518496287556,0.574321009379497
55,0.7252459604772844,0.5986409757271455,0.6022695937207758
56,0.7093178113714393,0.6084219040370589,0.5735974247740478
57,0.6935618096785651,0.5607438942546012,0.53636186145163
58,0.7211105208630044,0.6023004844224805,0.5786861788966348
59,0.700394835581803,0.5580045278808297,0.6007409917279192
60,0.7253611944653007,0.5863409122822518,0.5833181214206662
61,0.7338687116775902,0.6043296340468962,0.5899971334940877
62,0.7398156363448332,0.5989383884963948,0.5862715112185785
63,0.7280146770139787,0.6183388098447966,0.580683059779541
64,0.6897610017539525,0.5957753045235725,0.5477142761624118
65,0.7289135996703253,0.5993662897015963,0.5781692515587838
66,0.6942666940417823,0.5962362023202674,0.5438311638456129
67,0.7066401270429123,0.5904677863560026,0.561071266667012
68,0.7300873329642701,0.586482140627806,0.572683146391671
69,0.7190985394801905,0.6098352678192918,0.5734663008114738
70,0.7128575856718561,0.5522508986033884,0.5880816962172877
71,0.7329653025255548,0.5705960284990887,0.5782701852863171
72,0.7233405791712287,0.5642395353180225,0.6117450908145521
73,0.7400405981152607,0.5741729073177713,0.5815651330662964
74,0.7410717863343975,0.5712014218728627,0.5940431267607482
75,0.7393288822582442,0.5688326881902088,0.5780386227006382
76,0.7478658765610416,0.5850592584466493,0.5878840888968329
77,0.7354577447652707,0.5807932555347165,0.5758130437805051
78,0.7613028729111174,0.5870126922265733,0.5973442149785564
79,0.7376641567141831,0.5589643794450828,0.615682937705444
80,0.7106549939811214,0.5753031732724215,0.5685617482908375
81,0.7513392729409886,0.6020633264594993,0.5997852059405842
82,0.7254111065743852,0.5916132194347191,0.5356724035450028
83,0.7552966510551513,0.60258718712233,0.5931855029974793
84,0.741050309077991,0.5977484698214043,0.5677109079835639
85,0.7675277658637829,0.6039346775425499,0.5806518492169492
86,0.7324834875023222,0.5846219872693773,0.6122455166490319
87,0.7580355315897257,0.5877363225031256,0.6036685708832137
88,0.7636838656806882,0.5894806523842286,0.5998146942749757
89,0.7418398471825192,0.5766937590176282,0.5954749332344996
90,0.752599842097748,0.6085602043702101,0.5597241101402216
91,0.7496369915325095,0.5787886319095006,0.6033728023215322
92,0.724135146622214,0.5698528676484484,0.5674667786840895
93,0.7586936374641391,0.6058529812147332,0.5949359787787967
94,0.7362056463901867,0.5881886202716653,0.5611151975861851
95,0.7485630122288117,0.5738146875758557,0.5944684238091782
96,0.7610881391769219,0.6053234094121943,0.5762588820009857
97,0.7605987770153343,0.6185405589176846,0.5911789352175023
98,0.7526809035639181,0.6068426257119585,0.615924786296038
99,0.7777309315108839,0.5895610896814403,0.595080043978051
